audio_path,start,end,text
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,0.000,2.760,謝謝總辦單位給我們這樣的機會
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,2.760,5.280,我是來自福寶科技的市長總監
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,5.280,5.840,我是來自福寶科技的市長總監
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,5.840,8.880,我想我今天大概就是簡單分享
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,8.880,11.640,我們在外國的這個領域的一些研究的成果
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,11.640,15.760,基本上是來自公園的研究短隊
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,15.760,17.720,其實我們在2012年的時候
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,17.720,20.120,就已經投入外國的這個領域的研究
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,20.120,23.040,我們是正式在2017年的時候
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,23.040,25.760,從公園Spin-off出來成立的福寶科技
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,25.760,27.720,所以到今年2024年
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,27.720,30.200,所以過去福寶在這個領域
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,30.200,31.560,已經將近十幾年
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,31.560,32.840,十二年左右的時間
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,32.840,36.280,那我們不僅是台灣第一家的外國科技的人
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,36.280,40.480,我們也是目前在這個領域設立最深的一個團隊
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,40.480,41.720,那我簡單介紹一下
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,41.720,43.840,我今天要報告的這個外國
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,43.840,46.360,那我想在這邊短短的時間
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,46.360,47.520,跟各位報告一下
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,47.520,48.920,我們過去這十多年來
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,48.920,50.600,在不同領域的外國科的
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,50.600,52.600,我們一些研究的成果
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,52.600,54.320,還有在進行中的專案
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,54.320,56.160,那我們目前的研究成果
C:\Users\JianXiangWang\PycharmProjects\ASR_test\Data\input\【智慧健康與醫療技術商談媒合會】福寶科技股份有限公司 仿生外骨骼智慧健康照護應用.mp3,56.160,57.960,基本上我已經達到
