audio_path,start,end,text
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper_supervised_learning\Data\input\【智慧健康與醫療技術商談媒合會】奇美醫院 智慧醫療中心 急診AI病情監控儀表板.mp3,0.000,5.880,"好,在座的各位先進大家好,我是清梅院智慧老周新劉中豐主任"
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper_supervised_learning\Data\input\【智慧健康與醫療技術商談媒合會】奇美醫院 智慧醫療中心 急診AI病情監控儀表板.mp3,6.140,10.240,那很高興來跟各位分享我們的一個研發的成果
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper_supervised_learning\Data\input\【智慧健康與醫療技術商談媒合會】奇美醫院 智慧醫療中心 急診AI病情監控儀表板.mp3,18.180,21.760,以下是有這六個來跟各位報告
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper_supervised_learning\Data\input\【智慧健康與醫療技術商談媒合會】奇美醫院 智慧醫療中心 急診AI病情監控儀表板.mp3,22.520,28.160,"我們的整個研發團隊是由我們林鴻龍院長來帶領,他也是一個急診的專家"
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper_supervised_learning\Data\input\【智慧健康與醫療技術商談媒合會】奇美醫院 智慧醫療中心 急診AI病情監控儀表板.mp3,28.420,28.160,
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper_supervised_learning\Data\input\【智慧健康與醫療技術商談媒合會】奇美醫院 智慧醫療中心 急診AI病情監控儀表板.mp3,30.160,34.500,那包含我們的額科部、外科部、急診的團隊、智慧的中心、還有智運室
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper_supervised_learning\Data\input\【智慧健康與醫療技術商談媒合會】奇美醫院 智慧醫療中心 急診AI病情監控儀表板.mp3,34.500,37.500,是我們整個的研發的陣容
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper_supervised_learning\Data\input\【智慧健康與醫療技術商談媒合會】奇美醫院 智慧醫療中心 急診AI病情監控儀表板.mp3,37.500,40.900,那我們的大數據是來自於三院區的資料
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper_supervised_learning\Data\input\【智慧健康與醫療技術商談媒合會】奇美醫院 智慧醫療中心 急診AI病情監控儀表板.mp3,40.900,48.000,那三院區的資料我們平均一天會有大約600人次的急診量
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper_supervised_learning\Data\input\【智慧健康與醫療技術商談媒合會】奇美醫院 智慧醫療中心 急診AI病情監控儀表板.mp3,48.000,51.700,那三院加起來永康大約有300人次
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper_supervised_learning\Data\input\【智慧健康與醫療技術商談媒合會】奇美醫院 智慧醫療中心 急診AI病情監控儀表板.mp3,51.700,55.040,所以我們資料量是在南部算很大的
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper_supervised_learning\Data\input\【智慧健康與醫療技術商談媒合會】奇美醫院 智慧醫療中心 急診AI病情監控儀表板.mp3,50.000,51.540,大約有300人次
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper_supervised_learning\Data\input\【智慧健康與醫療技術商談媒合會】奇美醫院 智慧醫療中心 急診AI病情監控儀表板.mp3,51.800,55.380,所以我們資料量是在南部算很大的
C:\Users\JianXiangWang\PycharmProjects\ASR_whisper_supervised_learning\Data\input\【智慧健康與醫療技術商談媒合會】奇美醫院 智慧醫療中心 急診AI病情監控儀表板.mp3,56.660,59.740,那我們的方法就是用比較
